K562	fdr_K562	lfc_K562	NCIH2030	fdr_NCIH2030	lfc_NCIH2030	LPS141	fdr_LPS141	lfc_LPS141	 SKMEL2	fdr_SKMEL2	lfc_SKMEL2
PIP5K1A	1	-4.2922	MYLIP	1	-1.6906	CDS1	1	-3.1498	IGDCC3	0.998835	2.4586
CPA1	1	-4.2062	PTEN	1	-1.0818	BAP1	1	-2.3036	TGFBR1	0.998835	-5.7051
PHIP	1	-2.9665	SOCS3	1	-1.2457	MYLIP	1	-2.4197	LYRM9	0.998835	-1.5607
HIST1H3D	1	-2.9274	NF2	0.997378	-0.96157	NR1H2	1	-1.2112	NOG	0.998835	-1.5097
TNFSF12	1	-0.96008	KCTD5	1	-1.0867	BRD1	1	-0.91146	ZNF418	0.998835	-2.4236
DGCR8	0.621911	-4.0338	EIF4E1B	0.997596	-0.27659	KMT2D	1	-0.79915	BCL3	0.998835	-5.4885
MRPL41	0.851439	-3.9256	LATS2	1	-0.72513	DAZAP1	1	-1.198	ZMYND12	0.998928	-2.3906
ZDHHC17	1	-2.8654	PDHA1	1	-0.85297	OR4M2	1	-0.80399	FGF17	0.998835	-5.238
CAB39	1	-3.006	NFKB2	0.814406	-0.12166	EIF4B	1	-1.6528	OR7E24	0.998835	-9.462
ZNF503	1	-1.1142	ZBTB7A	1	-0.81401	PMVK	1	-1.2334	AXIN2	0.998835	-5.3666
SPATA5L1	1	-3.6141	KIRREL	1	-0.67708	CEPT1	1	-1.2276	FAM131A	0.998835	-1.5394
EFCAB12	1	-2.6063	CDS1	0.998487	-1.3236	TOMM7	1	-0.72726	RUNX1	0.998835	-5.2287
BCDIN3D	1	-3.548	ZP4	0.865383	-0.49913	EMC6	1	-0.64295	SPOCD1	0.998835	-1.8571
MDC1	1	-3.1215	VSTM1	0.915718	-0.77423	ATP10A	1	-0.82059	OR4C45	0.998835	-5.2881
CT83	1	-3.0105	TMCO4	0.997378	-0.77423	NAP1L4	1	-0.95491	CCL22	0.998835	0.41386
FRAT1	1	-2.3958	MED12	0.941466	-0.41508	OR1N2	0.988122	-0.90759	CDH10	0.998835	-3.5891
C19orf43	0.964069	-3.5384	ROCK2	1	-0.50553	CEP70	1	-0.97128	ATP5O	0.998835	-4.4094
HMGN1	1	-4.0202	ZHX1-C8orf76	0.998339	-0.61088	OMA1	1	-1.026	SPRN	0.998835	-1.6099
MSL1	1	-3.4092	ZCCHC2	1	-1.0407	OR52E2	0.771012	0.35385	TSPAN33	0.998835	-2.3906
KIF1BP	1	-2.368	SNX6	1	-0.62967	PUM1	1	-1.0102	NKX2-6	0.998835	-3.66
TMX1	0.874078	0.89177	GPR148	0.916573	-0.99545	GSTT2B	1	-0.51346	AMN	0.998835	-2.2869
GNAZ	1	-3.3862	LEMD3	0.942303	0.0045093	HSP90AB1	1	-1.2154	KCNH2	0.998835	-4.6232
ARHGAP11B	1	-2.7513	KCNH3	0.915718	-0.044167	ETS1	1	-0.46195	FAM58A	0.998835	-0.68372
CDS1	1	-0.87107	BRINP2	1	-0.55187	BRE	1	-0.96839	PRR20E	0.998835	-3.8295
TTC32	1	-3.4892	CENPI	1	-1.3071	SLC33A1	1	-0.80879	C16orf74	0.998835	-4.7969
TRAPPC13	1	-0.28402	UBA6	1	-1.4101	ZFP92	0.972988	0.069665	ZZEF1	0.998835	-2.4236
C22orf29	1	-3.108	MUSK	0.90073	-0.17384	CHD5	1	-0.63569	SLC22A3	0.998835	-4.1777
GABRA2	1	-0.44698	PRPH	1	-0.67598	IFNA13	0.998466	-0.38182	LOC403312	0.998835	-4.9687
NCKAP1	1	-2.6329	NR1H2	0.896977	-0.37994	MFF	1	-0.78485	NTSR1	0.998835	-4.0879
SLC5A9	1	-3.4353	SBNO2	0.997378	-0.77791	PLCB2	1	-0.75408	RNF215	0.998835	-3.3004
