Essentials	Non-essentials
AAMP	ABCG8
AARS	ACCSL
AARS2	ACTL7A
AASDHPPT	ACTL7B
AATF	ACTL9
ABCB7	ACTRT1
ABCF1	ADAD1
ABHD11	ADAM18
ABT1	ADAM2
ACACA	ADAM20
ACLY	ADAM30
ACO2	ADH7
ACSL3	AFM
ACTL6A	AICDA
ACTR10	AIPL1
ACTR1A	ALPI
ACTR3	ALPPL2
ACTR6	ALX3
ACTR8	AMELX
ADAT3	ANKRD30A
ADSL	ANKRD60
AFG3L2	ANTXRL
AGO2	APOA4
AHCY	APOBEC1
AIFM1	APOF
AKIRIN2	AQP12A
ALDOA	AQP8
ALG1	ARGFX
ALG11	ART1
ALG13	ASB17
ALG14	ASIC5
ALG2	ASZ1
ALG8	ATOH1
ALYREF	ATP4B
ANAPC10	ATP6V1G3
ANAPC11	AWAT1
ANAPC15	AWAT2
ANAPC2	B3GNT6
ANAPC4	BANF2
ANAPC5	BARHL1
ANKLE2	BEND2
ANKRD49	BHLHE23
ANKRD63	BIRC8
AQR	BMP10
ARCN1	BMP15
ARFRP1	BPIFA1
ARGLU1	BPIFA3
ARIH1	BPIFB3
ARL2	BPIFB6
ARMC7	BPIFC
ARPC4	BPY2
ASCC3	BRDT
ASNA1	BSND
ASNS	C10orf113
ATF7	C10orf120
ATIC	C10orf53
ATL2	C11orf40
ATP13A1	C12orf40
ATP1A1	C14orf183
ATP2A2	C15orf55
ATP5A1	C16orf78
ATP5B	C17orf102
ATP5C1	C17orf78
ATP5D	C18orf26
ATP5F1	C19orf45
ATP5I	C1orf146
ATP6AP2	C20orf173
ATP6V0B	C20orf203
ATP6V0C	C20orf79
ATP6V0D1	C2orf57
ATP6V1A	C2orf61
ATP6V1B2	C2orf71
ATP6V1C1	C2orf83
ATP6V1D	C3orf30
ATP6V1E1	C4orf40
ATP6V1G1	C5orf20
ATP6V1H	C6orf10
ATR	C7orf66
ATRIP	C7orf71
ATRX	C8A
ATXN7L3	C8B
AURKAIP1	C8orf17
AURKB	C8orf86
BAHD1	C9orf53
BAP1	CABP2
BARD1	CABP5
BCAS2	CABS1
BCCIP	CACNG2
BCL2L1	CACNG3
BCS1L	CACNG5
BDP1	CATSPER4
BIRC5	CCDC155
BLM	CCDC172
BMS1	CCDC83
BNIP1	CCKAR
BOP1	CCL1
BORA	CCT8L2
BRAP	CD200R1L
BRAT1	CDCP2
BRCA1	CDX2
BRCA2	CDX4
BRD2	CDY1
BRD4	CDY1B
BRD8	CDY2A
BRF1	CDY2B
BRF2	CEACAM7
BRIX1	CELA2A
BTAF1	CELA3A
BUB1B	CELA3B
BUB3	CER1
BUD13	CETN1
BUD31	CFHR2
BYSL	CFHR5
C10orf2	CHAT
C11orf57	CHRNA6
C12orf45	CHRNB3
C12orf65	CLCA1
C14orf178	CLDN17
C14orf80	CLEC2A
C15orf41	CLEC3A
C16orf72	CLEC6A
C16orf80	CLRN1
C18orf21	CNBD1
C19orf52	CNGA2
C1orf109	CNGB3
C1orf131	CNPY1
C1QBP	CNTNAP5
C21orf59	COL20A1
C2orf49	COX7B2
