NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	199	-0.5509701	-2.733756	0.0	0.0	0.0	4253	tags=52%, list=22%, signal=66%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.52733606	-2.6263614	0.0	0.0	0.0	6303	tags=62%, list=33%, signal=91%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	199	-0.40868065	-2.0338604	0.0	1.1017332E-4	2.8E-4	3041	tags=37%, list=16%, signal=44%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	199	-0.39880052	-1.9845576	0.0	1.351983E-4	4.4E-4	5773	tags=50%, list=30%, signal=71%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	200	-0.36856464	-1.837137	0.0	5.8819685E-4	0.00264	3640	tags=36%, list=19%, signal=44%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.4331205	-1.7582586	0.0011806375	0.0014532972	0.00756	7259	tags=66%, list=38%, signal=105%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	149	-0.3500306	-1.6792481	0.0	0.0029161351	0.01732	4768	tags=40%, list=25%, signal=53%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	-0.31354004	-1.4378762	0.00983837	0.022455297	0.14576	3063	tags=28%, list=16%, signal=34%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.28592202	-1.4229206	0.0037869224	0.022776896	0.16436	5524	tags=36%, list=29%, signal=49%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	142	-0.24550007	-1.1599241	0.121212125	0.17426907	0.7904	2175	tags=20%, list=11%, signal=23%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		134	-0.22907366	-1.0775629	0.25828937	0.29362848	0.94668	6584	tags=42%, list=34%, signal=63%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		36	-0.282919	-1.0281624	0.40025666	0.37830085	0.98436	4128	tags=36%, list=22%, signal=46%	
