site	total_incidence	male_incidence	female_incidence	total_mortality	male_mortality	female_mortality	total_survival	male_survival	female_survival	subcategory
All_Sites	442.4	480.3	418.3	158.3	189.5	135.7	67.4	66.4	68.5	All
Oral_Cavity_Pharynx	11.4	17.2	6.4	2.5	3.9	1.3	66.2	65.6	67.7	Oral_Cavity_Pharynx
Lip	0.6	1	0.3	0	0	0	92	91.8	90.5	Oral_Cavity_Pharynx
Tongue	3.5	5.3	1.9	0.7	1	0.4	67.1	67.5	66.2	Oral_Cavity_Pharynx
Salivary_gland	1.3	1.7	1	0.3	0.4	0.1	72.3	65.5	81.7	Oral_Cavity_Pharynx
Floor_of_mouth	0.5	0.7	0.3	0	0	0	51.1	49	55.8	Oral_Cavity_Pharynx
Gum_other_oral_cavity	1.5	1.9	1.3	0.4	0.5	0.3	59.8	57	63.3	Oral_Cavity_Pharynx
Nasopharynx	0.6	0.9	0.3	0.2	0.3	0.1	61.3	59.1	66.6	Oral_Cavity_Pharynx
Tonsil	2	3.5	0.7	0.2	0.4	0.1	75.1	75.4	73.1	Oral_Cavity_Pharynx
Oropharynx	0.5	0.8	0.2	0.3	0.4	0.1	49	51.1	41	Oral_Cavity_Pharynx
Hypopharynx	0.6	1	0.2	0.1	0.2	0	36.1	36.1	36.2	Oral_Cavity_Pharynx
Other_oral_cavity_pharynx	0.3	0.5	0.1	0.4	0.7	0.2	47.9	50.4	38.2	Oral_Cavity_Pharynx
Digestive_system	81	98.5	66.4	40.9	52.4	31.4	43.6	41.3	46.6	Digestive_system
Esophagus	4.3	7.3	1.7	3.9	7	1.4	19.9	19.3	22.6	Digestive_system
Stomach	7.3	9.9	5.3	3.1	4.1	2.2	32	28.9	36.7	Digestive_system
Small_intestine	2.4	2.8	2.1	0.4	0.5	0.3	68.3	68.1	68.5	Digestive_system
Colon_rectum	38.2	43.7	33.6	13.9	16.6	11.8	64.6	64	65.1	Digestive_system
Colon	26.8	29.5	24.6	-	-	-	63.4	63.2	63.6	Digestive_system
Rectum	11.4	14.3	9.1	-	-	-	67.1	65.6	69.1	Digestive_system
Anus_anal_canal_anorectum	1.9	1.6	2.2	0.3	0.2	0.3	68.7	63.7	71.5	Digestive_system
Liver_intrahepatic_bile_duct	9	13.8	4.8	6.6	9.6	4	19.6	19.3	20.5	Digestive_system
Gallbladder	1.2	0.9	1.5	0.6	0.4	0.7	19.2	20.6	18.6	Digestive_system
Other_biliary	1.9	2.3	1.5	0.4	0.5	0.4	18.7	19.7	17.5	Digestive_system
Pancreas	13.1	14.9	11.6	11	12.7	9.6	10	10	10	Digestive_system
Retroperitoneum	0.4	0.4	0.4	0.1	0.1	0.1	55.2	53.6	56.6	Digestive_system
Peritoneum_omentum_mesentery	0.5	0.1	0.8	0.3	0.1	0.4	32.4	36.5	32.2	Digestive_system
Other_digestive_system	0.8	0.9	0.7	0.4	0.4	0.3	7.3	6.2	8.4	Digestive_system
Respiratory_system	57.9	67.9	50.3	41.5	51.5	33.8	23.4	21.7	25.5	Respiratory_system
Nose_nasal_cavity_middle_ear	0.7	0.9	0.5	0.1	0.2	0.1	58.1	58.3	57.6	Respiratory_system
Larynx	2.9	5	1.1	1	1.7	0.4	60.6	61.3	57.6	Respiratory_system
Lung_bronchus	54.2	61.7	48.6	40.2	49.3	33.2	20.5	17.1	24.2	Respiratory_system
Pleura	0	0	0	0.1	0.1	0	24.3	17.3	34.2	Respiratory_system
