NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	200	-0.4135667	-1.9696444	0.0	9.587584E-4	9.2E-4	6553	tags=54%, list=33%, signal=79%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.41023266	-1.9526664	0.0	6.752854E-4	0.00128	6977	tags=55%, list=35%, signal=83%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.4782951	-1.8583566	7.243752E-5	0.0012603065	0.00364	4112	tags=43%, list=20%, signal=54%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	138	-0.4058358	-1.837685	0.0	0.0012646472	0.00484	3410	tags=38%, list=17%, signal=45%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	199	-0.34751195	-1.6535935	6.90417E-5	0.009129046	0.04264	7038	tags=49%, list=35%, signal=74%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	-0.35686025	-1.6344799	8.351312E-4	0.009221975	0.05132	3977	tags=34%, list=20%, signal=42%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	200	-0.32332224	-1.5399374	0.0011667811	0.021924675	0.1366	3776	tags=32%, list=19%, signal=38%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	200	-0.31386024	-1.493135	0.0024671052	0.03083094	0.21072	4364	tags=35%, list=22%, signal=44%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.30875775	-1.4722185	0.0029902642	0.033743512	0.25196	6508	tags=44%, list=32%, signal=64%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	158	-0.30005425	-1.3841771	0.016169501	0.07232915	0.50168	4626	tags=30%, list=23%, signal=39%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		36	-0.37779018	-1.3227532	0.09784412	0.11695374	0.712	2910	tags=33%, list=15%, signal=39%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		200	-0.2678321	-1.2761049	0.039274924	0.16258472	0.84872	6985	tags=45%, list=35%, signal=68%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		199	-0.26683497	-1.2674769	0.047161993	0.16119875	0.86848	7382	tags=43%, list=37%, signal=67%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		87	-0.29867342	-1.255723	0.0981854	0.16557166	0.89488	4207	tags=26%, list=21%, signal=33%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		42	-0.34368637	-1.2502595	0.1436231	0.16157292	0.90616	4908	tags=33%, list=24%, signal=44%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		49	-0.33262494	-1.2492533	0.13098419	0.15283586	0.90844	3841	tags=29%, list=19%, signal=35%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		200	-0.2502878	-1.1921088	0.10357558	0.2271165	0.9786	7619	tags=46%, list=38%, signal=73%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		200	-0.23508142	-1.1196686	0.19310345	0.36380768	0.99876	4895	tags=34%, list=24%, signal=44%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		199	-0.23236218	-1.1060411	0.21513641	0.378114	0.99952	3260	tags=26%, list=16%, signal=31%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		200	-0.2176231	-1.036151	0.36113012	0.5550607	1.0	6224	tags=34%, list=31%, signal=49%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		199	-0.21698329	-1.0342363	0.36421067	0.5343819	1.0	6543	tags=44%, list=33%, signal=64%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		112	-0.22760297	-0.99815255	0.45414108	0.6215961	1.0	3903	tags=29%, list=19%, signal=35%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		200	-0.20731813	-0.988357	0.48239267	0.6253024	1.0	4708	tags=29%, list=23%, signal=37%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		36	-0.27633044	-0.96719795	0.5078293	0.66496605	1.0	7618	tags=42%, list=38%, signal=67%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		113	-0.21478882	-0.9408375	0.5905841	0.7197998	1.0	3521	tags=23%, list=18%, signal=28%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		40	-0.2580122	-0.926896	0.57774913	0.734164	1.0	5041	tags=30%, list=25%, signal=40%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		97	-0.21594827	-0.92267746	0.6215343	0.7192408	1.0	6961	tags=34%, list=35%, signal=52%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		32	-0.2477531	-0.8459052	0.71459603	0.88938135	1.0	5251	tags=38%, list=26%, signal=51%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		199	-0.15407756	-0.7349807	0.9903979	1.0	1.0	4711	tags=23%, list=23%, signal=29%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		158	-0.14580122	-0.6738797	0.99695545	0.98903304	1.0	7242	tags=35%, list=36%, signal=55%	
