K562	rank_K562	MCF7	rank_MCF7	NCIH2030	rank_NCIH2030	LPS141	rank_LPS141	SKMEL2	rank_SKMEL2
CDK1	1	C17orf82	1	CARS	1	RPS3A	1	RPL19	1
ORAOV1	2	RPL19	2	SNRPD3	2	CDK1	2	DPH3	2
HSPA5	3	POLR2L	3	RPS13	3	RPLP0	3	PRMT1	3
SNRPF	4	RPS8	4	PCNA	4	RBM19	4	LUC7L3	4
PAFAH1B1	5	BUB3	5	EIF1AX	5	BUB3	5	RPL6	5
UBA52	6	LOC100507462	6	TOP2A	6	RPL17-C18orf32	6	AP2S1	6
EIF3A	7	PSMB4	7	PRMT5	7	RPL27	7	ALDOA	7
RPL17-C18orf32	8	RPS4X	8	PSMA6	8	TSFM	8	RPL17-C18orf32	8
POLR2L	9	PCNA	9	SMU1	9	U2AF1	9	RPL23A	9
RPL27	10	CDK4	10	PRPF19	10	MARS	10	TUBA1B	10
LDB1	11	WDR77	11	RPE	11	EIF3I	11	CARS	11
U2AF1	12	PSMA6	12	MARS	12	INHBE	12	RPS18	12
SMCHD1	13	NBPF20	13	SOD1	13	KPNB1	13	PRMT5	13
ABL1	14	USP32	14	SNRPF	14	IARS	14	BUB3	14
NOP58	15	ZNF626	15	NOP58	15	RPS18	15	RPS4X	15
PRPF8	16	SNRPD1	16	DUX4	16	EEF1A1	16	TRRAP	16
KPNB1	17	PSMD14	17	GPN2	17	DDX21	17	RPS3A	17
RPL34	18	WASH1	18	POLR3H	18	HSPE1	18	COASY	18
METTL17	19	RPL17-C18orf32	19	EXOSC9	19	CDK4	19	AARS	19
RPS8	20	BMP7	20	HSPA9	20	HSPD1	20	FAU	20
PSMA6	21	PRMT5	21	RPSA	21	POLR1C	21	PTPMT1	21
DHFR	22	HEATR6	22	ARMC7	22	SNRPD3	22	ATP6V0C	22
POLR3B	23	CYP24A1	23	UBA52	23	COPA	23	DOHH	23
SNRPD2	24	SFPQ	24	LRRC37A3	24	PSMA6	24	EIF1AX	24
RPL12	25	PRPF19	25	RPS8	25	NFS1	25	NARFL	25
RPL17	26	RPS3A	26	RPL5	26	HSPA9	26	CCT7	26
BUB3	27	POLR2J	27	UTP15	27	PCNA	27	PSMA5	27
PCNA	28	HSPE1	28	RUVBL1	28	DNAJC11	28	TPI1	28
RPL13	29	PHAX	29	HMGCS1	29	ALDOA	29	ANAPC1	29
RPS18	30	FAU	30	RPL11	30	RPL7	30	COPA	30
DARS	31	TLK2	31	RPL6	31	DNA2	31	RBM25	31
CCT6A	32	SNRPD3	32	FNTA	32	MDM2	32	PLK1	32
HSPE1	33	SNRPF	33	CDK6	33	POLR2L	33	GTPBP4	33
POLR1C	34	RPL7	34	POLR2L	34	RPS14	34	CCDC94	34
YARS2	35	NOTCH2NL	35	BUB3	35	RPL6	35	PRPF19	35
MRPS2	36	RPL23	36	ANAPC11	36	SNRPF	36	PSMB1	36
RPS13	37	TFAP2C	37	PCID2	37	RPL31	37	PSMB4	37
RPL9	38	PRR11	38	MCM7	38	RPP21	38	DHX33	38
WBSCR16	39	POLR2D	39	UXT	39	SMC2	39	RPP21	39
PRPF19	40	FUBP1	40	EIF5	40	PTPMT1	40	ANAPC11	40
DTYMK	41	METTL2B	41	TPI1	41	EIF2S3	41	PGD	41
RFC5	42	RPS20	42	RPL18	42	PRPF8	42	FBL	42
TERF2	43	KPNB1	43	COPS6	43	SMU1	43	RPS16	43
RPL23A	44	RPS13	44	CAPZB	44	LSM2	44	CDC73	44
CDC37	45	RPL23A	45	YRDC	45	RUVBL1	45	ORC6	45
IARS	46	STRADA	46	PRPF8	46	RPL18A	46	CDK1	46
HMGCS1	47	NDUFB4	47	CCT2	47	RPL17	47	ARMC7	47
CSTF3	48	NBPF10	48	RAC1	48	RPL19	48	AQR	48
SMU1	49	LOC100144595	49	CDC7	49	PRPF19	49	DDX20	49
NOP56	50	CCDC84	50	CCT5	50	EXOSC2	50	CIAO1	50
EIF1AX	51	MCL1	51	PSMB7	51	SBDS	51	SBDS	51
PHB2	52	RPS19	52	PSMA5	52	RPSA	52	GTF2E2	52
HIST2H3C	53	GPR89B	53	KPNB1	53	NLE1	53	RPS17	53
FAU	54	SMC2	54	LARS	54	DBR1	54	SKA2	54
PELO	55	POLR3H	55	SKIV2L2	55	RPS17	55	PRIM1	55
HSD17B12	56	RPL17	56	TCP1	56	TUBB	56	TAF1C	56
